t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,est_x,est_y,est_yaw_deg,event
0.051,0,DRIVE,0.051,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.102,0,DRIVE,0.102,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.151,0,DRIVE,0.152,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.201,0,DRIVE,0.201,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.251,0,DRIVE,0.251,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.301,0,DRIVE,0.301,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.352,0,DRIVE,0.352,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.401,0,DRIVE,0.401,0.300,0.000,0.000,0.053,-0.004,-0.034,0.000,0.000,0.0,
0.452,0,DRIVE,0.452,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.501,0,DRIVE,0.501,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.552,0,DRIVE,0.552,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.602,0,DRIVE,0.602,0.300,0.000,0.000,0.260,-0.014,-0.034,0.000,0.000,0.0,
0.652,0,DRIVE,0.653,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.701,0,DRIVE,0.702,0.300,0.000,0.000,0.260,-0.014,-0.034,0.000,0.000,0.0,
0.751,0,DRIVE,0.751,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.801,0,DRIVE,0.801,0.300,0.000,0.000,0.260,-0.014,-0.034,0.000,0.000,0.0,
0.852,0,DRIVE,0.852,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.901,0,DRIVE,0.901,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
0.951,0,DRIVE,0.951,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.003,0,DRIVE,1.003,0.300,0.000,0.000,0.368,0.024,-0.102,0.000,0.000,0.0,
1.051,0,DRIVE,1.051,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,
1.102,0,DRIVE,1.102,0.300,0.000,0.000,0.181,-0.014,-0.102,0.000,0.000,0.0,
1.152,0,DRIVE,1.152,0.300,0.000,0.000,0.181,-0.014,-0.102,0.000,0.000,0.0,
1.201,0,DRIVE,1.202,0.300,0.000,0.000,0.053,-0.004,-0.034,0.000,0.000,0.0,
1.251,0,DRIVE,1.251,0.300,0.000,0.000,0.181,-0.014,-0.102,0.000,0.000,0.0,
