t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,imu_heading_deg,kf_x,kf_y,kf_yaw_deg,opt_x,opt_y,opt_yaw_deg,lateral_err_m,heading_err_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,-0.00,-0.0000,0.0000,0.01,0.0000,-0.00,
0.101,0,WARMUP,0.101,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.00,-0.0000,0.0000,0.01,0.0000,0.00,
0.151,0,WARMUP,0.151,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,-0.01,-0.0000,0.0000,-0.01,0.0000,-0.01,
0.202,0,WARMUP,0.202,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.01,-0.0000,0.0000,0.00,0.0000,0.01,
0.252,0,WARMUP,0.252,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,-0.00,-0.0000,0.0000,0.01,0.0000,-0.00,
0.301,0,WARMUP,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.00,0.0000,0.0000,0.01,0.0000,0.00,
0.352,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,-0.00,-0.0000,0.0000,-0.00,0.0000,-0.00,
0.401,0,WARMUP,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,-0.0000,0.0000,0.00,0.0000,0.0000,-0.00,0.0000,0.00,
0.452,0,WARMUP,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,-0.0000,-0.00,0.0001,-0.0001,-0.00,-0.0000,-0.00,
0.501,0,WARMUP,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0001,-0.0000,-0.00,0.0001,-0.0001,-0.01,-0.0000,-0.00,
0.551,0,WARMUP,0.551,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0001,-0.0000,-0.01,0.0001,-0.0000,-0.01,-0.0000,-0.01,
0.603,0,WARMUP,0.603,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0001,-0.0000,-0.01,0.0001,-0.0001,-0.03,-0.0000,-0.01,
0.652,0,WARMUP,0.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0001,-0.0000,-0.02,0.0001,-0.0001,-0.02,-0.0000,-0.02,
0.702,0,WARMUP,0.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0000,-0.0000,-0.02,0.0001,-0.0001,-0.03,-0.0000,-0.02,
0.751,0,WARMUP,0.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0001,-0.0001,-0.03,0.0001,-0.0001,-0.02,-0.0001,-0.03,
0.803,0,WARMUP,0.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0001,-0.0001,-0.03,0.0001,-0.0001,-0.04,-0.0001,-0.03,FIN_WARMUP
