t_s,rep,state,elapsed_s,cmd_wz,opt_dyaw_deg,imu_yaw_deg,kf_dyaw_deg,kf_err_deg,event
0.052,0,WAIT,0.053,0.0000,0.00,0.00,0.00,0.00,
0.102,0,WAIT,0.102,0.0000,0.00,0.00,0.00,0.00,
0.154,0,SPIN,0.001,0.0000,0.00,0.00,0.00,0.00,
0.203,0,SPIN,0.049,1.0000,-0.05,0.00,0.00,0.05,
0.252,0,SPIN,0.099,1.0000,-0.05,0.00,2.86,2.91,
0.303,0,SPIN,0.149,1.0000,-0.05,0.00,5.72,5.77,
0.352,0,SPIN,0.199,1.0000,0.01,0.00,8.58,8.57,
0.403,0,SPIN,0.249,1.0000,0.03,0.00,11.45,11.42,
0.452,0,SPIN,0.299,1.0000,0.03,0.00,14.31,14.28,
0.503,0,SPIN,0.350,1.0000,0.03,0.00,17.23,17.20,
0.552,0,SPIN,0.399,1.0000,0.04,0.00,20.03,19.98,
0.602,0,SPIN,0.449,1.0000,0.04,0.00,22.90,22.86,
0.653,0,SPIN,0.499,1.0000,0.04,0.00,25.78,25.73,
0.702,0,SPIN,0.549,1.0000,0.04,0.00,28.63,28.58,
0.753,0,SPIN,0.600,1.0000,0.14,0.00,31.56,31.42,
0.802,0,SPIN,0.649,1.0000,0.14,0.00,34.36,34.22,
0.852,0,SPIN,0.699,1.0000,0.14,0.00,37.22,37.08,
0.904,0,SPIN,0.751,1.0000,0.14,0.00,40.17,40.02,
0.953,0,SPIN,0.800,1.0000,0.14,0.00,43.01,42.87,
1.002,0,SPIN,0.849,1.0000,0.14,0.00,45.82,45.68,
1.052,0,SPIN,0.899,1.0000,0.14,0.00,48.69,48.55,
1.102,0,SPIN,0.949,1.0000,0.14,0.00,51.55,51.41,
1.152,0,SPIN,0.999,1.0000,0.14,0.00,54.42,54.28,
1.202,0,SPIN,1.049,1.0000,0.14,0.00,57.28,57.14,
1.252,0,SPIN,1.099,1.0000,0.14,0.00,60.15,60.01,
1.303,0,SPIN,1.150,1.0000,0.14,0.00,63.05,62.91,
1.353,0,SPIN,1.199,1.0000,0.14,0.00,65.88,65.74,
1.402,0,SPIN,1.249,1.0000,0.14,0.00,68.74,68.60,
1.452,0,SPIN,1.299,1.0000,0.14,0.00,71.60,71.46,
1.502,0,SPIN,1.349,1.0000,0.14,0.00,74.47,74.33,
1.552,0,SPIN,1.399,1.0000,0.14,0.00,77.34,77.20,
1.603,0,SPIN,1.450,1.0000,16.94,0.00,80.23,63.30,
1.652,0,SPIN,1.499,1.0000,20.71,0.00,83.07,62.36,
1.702,0,SPIN,1.549,1.0000,20.71,0.00,85.92,65.22,
1.752,0,SPIN,1.599,1.0000,20.71,0.00,88.80,68.09,
1.802,0,SPIN,1.649,1.0000,20.71,0.00,91.65,70.95,
1.852,0,SPIN,1.699,1.0000,27.14,0.00,94.52,67.38,
1.902,0,SPIN,1.749,1.0000,27.14,0.00,97.38,70.24,
1.952,0,SPIN,1.799,1.0000,32.70,0.00,100.25,67.55,
2.003,0,SPIN,1.850,1.0000,32.70,0.00,103.13,70.43,
2.052,0,SPIN,1.899,1.0000,32.70,0.00,105.98,73.28,
2.102,0,SPIN,1.949,1.0000,32.70,0.00,108.85,76.14,
2.153,0,SPIN,2.000,1.0000,37.58,0.00,111.74,74.16,
2.202,0,SPIN,2.049,1.0000,41.83,0.00,114.57,72.74,
2.252,0,SPIN,2.099,1.0000,41.83,0.00,117.45,75.61,
2.303,0,SPIN,2.150,1.0000,41.83,0.00,120.32,78.48,
2.352,0,SPIN,2.199,1.0000,41.83,0.00,123.17,81.33,
2.402,0,SPIN,2.249,1.0000,42.75,0.00,126.03,83.28,
2.454,0,SPIN,2.301,1.0000,42.75,0.00,129.00,86.25,
2.503,0,SPIN,2.350,1.0000,42.75,0.00,131.78,89.03,
2.552,0,SPIN,2.399,1.0000,42.75,0.00,134.62,91.87,
2.602,0,SPIN,2.449,1.0000,42.75,0.00,137.50,94.75,
2.652,0,SPIN,2.499,1.0000,58.13,0.00,140.33,82.21,
2.705,0,SPIN,2.551,0.0000,58.13,0.00,143.22,85.09,FIN_SPIN_rep0
2.706,0,COAST,0.001,0.0000,58.13,0.00,143.22,85.09,
2.752,0,COAST,0.047,0.0000,58.13,0.00,143.22,85.09,
2.804,0,COAST,0.099,0.0000,58.13,0.00,143.22,85.09,
2.852,0,COAST,0.147,0.0000,61.28,0.00,143.22,81.94,
2.902,0,COAST,0.197,0.0000,61.14,0.00,143.22,82.09,
2.952,0,COAST,0.247,0.0000,61.14,0.00,143.22,82.09,
3.002,0,COAST,0.297,0.0000,61.14,0.00,143.22,82.09,
3.052,0,COAST,0.347,0.0000,61.14,0.00,143.22,82.09,
3.102,0,COAST,0.397,0.0000,61.18,0.00,143.22,82.04,
3.152,0,COAST,0.447,0.0000,61.18,0.00,143.22,82.04,
3.202,0,COAST,0.497,0.0000,61.18,0.00,143.22,82.04,
3.252,0,COAST,0.547,0.0000,61.18,0.00,143.22,82.04,
3.302,0,COAST,0.597,0.0000,61.20,0.00,143.22,82.02,
3.353,0,COAST,0.648,0.0000,61.16,0.00,143.22,82.06,
3.402,0,COAST,0.697,0.0000,61.16,0.00,143.22,82.06,
3.452,0,COAST,0.747,0.0000,61.16,0.00,143.22,82.06,
